location_key,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,new_recovered,cumulative_recovered,fecha,week,year,month,porcentaje_vacunacion,urban_population_percentage,case_fatality_rate
AR,AR,Argentina,2685.0,140.0,1662867.0,46522.0,18849.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,26.388889,15.580247,33.030864,0.0,41.559285,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-01,53,2020,1,0.041943792247539274,0.9199100098819032,0.027976981923388943
AR,AR,Argentina,7767.0,166.0,1670634.0,46688.0,20334.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,27.740741,18.098765,33.962963,0.0,43.58135,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-02,53,2020,1,0.045248292830466524,0.9199100098819032,0.027946276682983825
AR,AR,Argentina,4934.0,157.0,1675568.0,46845.0,20529.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,21.95679,17.950617,33.45679,13.1445,74.880846,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-03,53,2020,1,0.04568221714943677,0.9199100098819032,0.0279576836034109
AR,AR,Argentina,13953.0,157.0,1689521.0,47002.0,25164.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,24.894444,18.072222,30.244444,1.4986,60.805923,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-04,1,2021,1,0.055996264423421836,0.9199100098819032,0.027819719316895145
AR,AR,Argentina,14085.0,160.0,1703606.0,47162.0,29852.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,20.104938,16.135802,30.685185,8.28675,72.972595,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-05,1,2021,1,0.0664282501020501,0.9199100098819032,0.027683631074321174
AR,AR,Argentina,14496.0,131.0,1718102.0,47293.0,34162.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,20.919753,13.290123,26.580247,5.108222,52.241997,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-06,1,2021,1,0.07601909017775142,0.9199100098819032,0.02752630519026228
AR,AR,Argentina,13722.0,160.0,1731824.0,47453.0,42092.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,25.122222,12.755556,32.383333,0.0,39.691672,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-07,1,2021,1,0.09366534581587474,0.9199100098819032,0.027400590360221362
AR,AR,Argentina,13932.0,162.0,1745756.0,47615.0,54090.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,22.833333,16.5,33.076389,3.265714,57.254261,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-08,1,2021,1,0.12036393032359272,0.9199100098819032,0.02727471651250232
AR,AR,Argentina,9959.0,158.0,1755715.0,47773.0,58552.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,22.728395,13.185185,29.364198,13.687778,61.715447,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-09,1,2021,1,0.13029300884279904,0.9199100098819032,0.027209997066722103
AR,AR,Argentina,5174.0,165.0,1760889.0,47938.0,59043.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,25.895062,17.160494,32.462963,0.0,62.971625,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8,,,2021-01-10,1,2021,1,0.13138560802543695,0.9199100098819032,0.027223748913191008
